viewer_id,view_time,visit_date,ad_id,demographics_id
15324,12.51,2024-01-02,56,4
9982,10.46,2024-01-02,11,14
2114,5.6,2024-01-02,26,19
2118,7.25,2024-01-02,18,25
3948,7.22,2024-01-02,3,27
16256,14.35,2024-01-02,30,8
14576,12.57,2024-01-02,19,4
10922,2.79,2024-01-02,4,20
14419,4.87,2024-01-02,24,12
7481,0.8,2024-01-02,20,10
17272,12.37,2024-01-02,26,8
4867,14.94,2024-01-02,59,17
4846,14.78,2024-01-02,18,16
16850,0.22,2024-01-02,9,10
16929,6.68,2024-01-02,47,16
8292,2.7,2024-01-02,12,7
4185,9.31,2024-01-02,34,11
1694,7.5,2024-01-02,76,30
3187,13.06,2024-01-02,38,21
7126,1.34,2024-01-02,28,28
12850,6.71,2024-01-02,47,22
8039,4.95,2024-01-02,62,5
11353,10.82,2024-01-02,35,14
10086,4.2,2024-01-02,9,16
14072,14.29,2024-01-02,5,29
10096,14.67,2024-01-02,52,8
9640,14.85,2024-01-02,28,23
2215,2.31,2024-01-02,1,17
3373,0.3,2024-01-02,56,24
14120,1.82,2024-01-02,59,11
13009,5.52,2024-01-02,71,3
11596,0.48,2024-01-02,49,1
12407,7.47,2024-01-02,65,5
12099,3.68,2024-01-02,15,10
12731,2.97,2024-01-02,10,18
10178,4.15,2024-01-02,16,17
9037,14.53,2024-01-02,4,9
12978,1.73,2024-01-03,21,25
16561,14.9,2024-01-03,75,27
8078,2.93,2024-01-03,72,11
14787,3.25,2024-01-03,63,9
9637,11.04,2024-01-03,54,5
3342,12.36,2024-01-03,55,4
2940,14.13,2024-01-03,23,9
9094,11.52,2024-01-03,2,18
17197,0.67,2024-01-03,35,11
1537,6.68,2024-01-03,26,25
116,4.48,2024-01-03,29,19
9385,9.11,2024-01-03,59,12
3806,11.22,2024-01-03,20,21
2626,14.67,2024-01-03,9,22
13927,7.89,2024-01-03,63,22
11195,1.45,2024-01-03,69,28
5111,4.69,2024-01-03,57,9
10238,5.16,2024-01-03,32,5
12237,14.34,2024-01-03,43,12
1390,6.73,2024-01-04,63,4
12363,10.03,2024-01-04,13,25
4365,6.18,2024-01-04,19,6
1873,10.84,2024-01-04,36,17
5678,2.05,2024-01-04,57,3
16088,14.56,2024-01-04,22,19
15850,5.43,2024-01-04,22,12
7170,8.06,2024-01-04,31,19
7255,13.57,2024-01-04,68,13
8353,6.3,2024-01-04,47,4
4420,11.52,2024-01-04,47,17
1184,0.63,2024-01-04,31,20
2540,1.86,2024-01-04,46,26
1220,9.04,2024-01-04,13,2
12313,11.56,2024-01-04,66,22
16003,0.63,2024-01-04,73,10
5568,8.87,2024-01-04,56,3
5100,10.71,2024-01-04,38,5
14720,4.37,2024-01-04,39,14
10019,12.75,2024-01-04,42,17
5196,5.76,2024-01-04,1,24
6803,7.42,2024-01-04,29,26
2867,13.27,2024-01-04,38,24
15241,2.39,2024-01-04,33,5
11850,4.44,2024-01-04,24,17
6852,3.36,2024-01-04,34,2
3375,6.25,2024-01-04,45,23
5274,2.01,2024-01-04,61,27
3572,7.24,2024-01-04,55,6
10851,11.5,2024-01-04,50,16
2144,10.26,2024-01-04,71,11
967,13.26,2024-01-04,1,2
5415,11.01,2024-01-04,69,7
10620,11.33,2024-01-04,3,15
4105,5.3,2024-01-04,24,2
7735,5.37,2024-01-04,40,26
3308,11.68,2024-01-04,4,17
16496,3.7,2024-01-04,6,11
8860,5.0,2024-01-04,59,26
8184,12.98,2024-01-04,51,13
3625,2.18,2024-01-04,68,22
1466,13.34,2024-01-04,63,1
2793,2.33,2024-01-05,47,5
2444,11.14,2024-01-05,30,1
6513,1.95,2024-01-05,65,4
3717,9.32,2024-01-05,25,22
2696,7.49,2024-01-05,25,9
10820,7.75,2024-01-05,31,25
8581,13.94,2024-01-05,1,17
7315,1.45,2024-01-05,76,4
4893,6.2,2024-01-05,31,18
1399,4.32,2024-01-05,37,28
5827,13.08,2024-01-05,9,3
4774,5.73,2024-01-05,69,7
9867,5.86,2024-01-05,31,16
3090,14.77,2024-01-05,70,7
5129,2.12,2024-01-05,70,9
1578,2.73,2024-01-06,11,21
4048,11.76,2024-01-06,31,23
14448,13.35,2024-01-06,50,11
9017,13.95,2024-01-06,44,22
7784,12.23,2024-01-06,36,16
14770,4.73,2024-01-06,60,9
13763,14.88,2024-01-06,43,28
10294,14.75,2024-01-06,66,26
12064,1.67,2024-01-06,53,20
2012,14.12,2024-01-06,13,2
6421,13.65,2024-01-06,65,15
13676,0.85,2024-01-06,18,25
15416,7.68,2024-01-06,6,20
13831,4.96,2024-01-06,40,28
17146,14.3,2024-01-06,11,21
71,14.14,2024-01-06,31,20
8872,8.67,2024-01-06,48,8
2915,14.82,2024-01-06,23,20
12704,1.59,2024-01-06,2,13
15040,1.47,2024-01-06,39,5
10363,14.84,2024-01-06,41,1
14,9.75,2024-01-06,65,8
9627,1.64,2024-01-06,27,21
7109,6.66,2024-01-06,46,17
17263,0.62,2024-01-06,37,16
11342,11.16,2024-01-06,67,13
16104,2.59,2024-01-06,13,28
14028,9.19,2024-01-06,14,26
1699,6.85,2024-01-06,12,14
4095,8.99,2024-01-06,25,3
4805,10.91,2024-01-06,21,19
11358,2.56,2024-01-06,23,4
12114,9.41,2024-01-06,64,4
10476,6.97,2024-01-06,51,28
1333,6.16,2024-01-06,1,9
11930,4.67,2024-01-06,44,16
14549,0.81,2024-01-06,24,21
16731,8.3,2024-01-06,11,11
16139,11.86,2024-01-06,46,22
15106,2.1,2024-01-06,58,13
16576,3.79,2024-01-06,61,20
5712,8.88,2024-01-06,9,30
3402,7.45,2024-01-07,31,23
12104,3.66,2024-01-07,39,19
8760,14.56,2024-01-07,44,15
1964,10.1,2024-01-07,74,21
12401,1.63,2024-01-07,2,30
10779,7.18,2024-01-07,57,21
3405,4.96,2024-01-07,41,22
5735,7.2,2024-01-07,62,15
6945,8.17,2024-01-07,71,20
1633,12.91,2024-01-07,4,22
3238,3.92,2024-01-07,58,4
17044,14.4,2024-01-07,9,13
15017,6.11,2024-01-07,49,7
12615,13.28,2024-01-07,19,7
1704,2.44,2024-01-07,72,29
13344,13.6,2024-01-07,50,26
17142,8.9,2024-01-07,76,12
17056,8.66,2024-01-07,21,7
11808,5.78,2024-01-07,16,15
14180,12.65,2024-01-07,51,15
12814,5.88,2024-01-07,41,5
11294,10.89,2024-01-07,3,5
15049,12.65,2024-01-07,63,21
10609,3.49,2024-01-07,53,19
14333,3.1,2024-01-07,23,25
4320,4.26,2024-01-07,59,6
15064,7.71,2024-01-07,17,18
14538,13.89,2024-01-07,21,4
2325,10.16,2024-01-07,66,27
15715,12.57,2024-01-07,54,18
10750,11.83,2024-01-07,42,12
11155,4.93,2024-01-07,23,4
6447,7.6,2024-01-07,43,12
2010,7.43,2024-01-07,2,9
8946,9.29,2024-01-07,7,5
6302,11.45,2024-01-07,31,29
3869,0.47,2024-01-07,61,30
8909,5.48,2024-01-07,52,8
8840,2.23,2024-01-07,34,27
7521,5.27,2024-01-07,58,12
6530,2.0,2024-01-07,13,29
10236,7.62,2024-01-07,28,13
15945,2.73,2024-01-07,74,21
5660,4.89,2024-01-07,75,6
10367,9.23,2024-01-08,61,17
1875,9.81,2024-01-08,58,22
8250,12.97,2024-01-08,1,5
14272,7.65,2024-01-08,34,5
16080,10.96,2024-01-08,76,24
12390,7.33,2024-01-08,32,28
15187,12.51,2024-01-08,54,10
7225,9.74,2024-01-08,10,23
1242,4.66,2024-01-08,68,28
10709,4.95,2024-01-08,29,27
14993,9.6,2024-01-08,11,20
8383,12.98,2024-01-08,33,30
1298,5.65,2024-01-08,77,7
11413,2.85,2024-01-08,28,8
1247,12.96,2024-01-08,15,17
5926,5.27,2024-01-08,32,8
11748,4.97,2024-01-08,23,7
1998,4.81,2024-01-08,67,2
1160,6.45,2024-01-08,18,27
6711,1.23,2024-01-08,52,12
14750,7.51,2024-01-08,61,21
10757,6.99,2024-01-08,34,20
9685,5.15,2024-01-08,72,2
5093,13.08,2024-01-08,23,26
2873,11.73,2024-01-08,38,21
6967,11.95,2024-01-08,4,13
10036,6.57,2024-01-09,1,11
13163,1.3,2024-01-09,43,8
9149,10.02,2024-01-09,1,12
5468,13.93,2024-01-09,52,8
13398,6.48,2024-01-09,27,29
11192,1.98,2024-01-09,44,9
7820,13.45,2024-01-09,2,28
2381,3.09,2024-01-09,7,3
6047,13.35,2024-01-09,54,7
13710,7.55,2024-01-09,38,10
8173,7.43,2024-01-09,26,5
8440,7.73,2024-01-09,20,9
5593,6.58,2024-01-09,22,7
8282,7.78,2024-01-09,8,29
8933,13.14,2024-01-09,68,5
14024,7.57,2024-01-09,49,15
16750,1.45,2024-01-09,2,26
5533,7.34,2024-01-09,35,30
2129,12.09,2024-01-09,55,14
9819,6.07,2024-01-09,45,22
10051,0.22,2024-01-09,55,7
13654,13.42,2024-01-09,1,16
5992,12.68,2024-01-09,60,6
9285,9.43,2024-01-09,9,14
9771,8.15,2024-01-09,68,3
10395,10.98,2024-01-10,34,22
3093,1.89,2024-01-10,59,27
12609,8.77,2024-01-10,71,23
7714,13.76,2024-01-10,21,23
7821,4.63,2024-01-10,56,16
14862,4.41,2024-01-10,61,24
12637,12.77,2024-01-10,17,9
562,7.59,2024-01-10,5,23
2877,13.69,2024-01-10,29,13
12370,13.18,2024-01-10,44,18
7516,5.61,2024-01-10,52,21
16264,7.75,2024-01-10,47,2
9440,8.65,2024-01-10,55,13
15532,2.73,2024-01-10,33,16
11588,5.94,2024-01-10,69,13
11974,14.75,2024-01-10,72,23
5741,6.82,2024-01-10,21,24
10683,7.03,2024-01-10,3,14
1471,7.44,2024-01-10,56,12
1509,5.74,2024-01-10,29,27
15150,6.33,2024-01-10,37,10
15733,13.48,2024-01-10,25,11
11879,9.51,2024-01-10,9,8
13805,12.39,2024-01-10,59,6
10005,14.72,2024-01-10,67,20
1560,8.27,2024-01-10,8,22
11383,12.6,2024-01-10,56,23
5086,7.5,2024-01-10,8,10
1978,0.23,2024-01-10,76,4
10586,5.59,2024-01-10,51,28
17192,10.35,2024-01-10,18,19
9088,13.5,2024-01-10,24,4
10599,1.43,2024-01-10,40,14
4335,2.66,2024-01-10,14,20
11789,13.3,2024-01-10,36,8
4429,14.73,2024-01-10,33,23
4432,4.68,2024-01-10,32,13
4463,9.38,2024-01-10,19,14
192,3.75,2024-01-10,18,28
10127,11.36,2024-01-10,38,2
4161,5.3,2024-01-10,44,18
1769,4.34,2024-01-10,60,3
11289,11.65,2024-01-10,5,10
9097,4.76,2024-01-10,40,21
4788,12.0,2024-01-10,38,5
11750,0.51,2024-01-10,50,3
1786,10.71,2024-01-10,7,5
3767,10.1,2024-01-10,6,20
444,13.37,2024-01-10,56,15
14745,13.77,2024-01-10,39,22
6752,0.21,2024-01-10,34,25
10765,2.69,2024-01-10,28,27
2078,3.91,2024-01-10,26,7
978,4.57,2024-01-10,39,23
9745,1.28,2024-01-10,63,8
1024,2.21,2024-01-10,70,20
1055,0.91,2024-01-10,65,1
1078,10.81,2024-01-10,32,17
8623,3.15,2024-01-10,75,10
6943,6.69,2024-01-10,56,22
13242,6.43,2024-01-10,19,30
1140,11.19,2024-01-10,69,20
17135,8.35,2024-01-10,33,26
2435,7.33,2024-01-10,73,26
8340,3.81,2024-01-10,54,21
7135,4.8,2024-01-10,63,13
14793,10.85,2024-01-10,14,28
13302,1.65,2024-01-10,67,6
476,8.76,2024-01-11,13,21
7998,2.74,2024-01-11,75,15
12889,2.15,2024-01-11,42,5
7226,1.16,2024-01-11,42,30
3195,5.8,2024-01-11,22,16
16068,3.53,2024-01-11,74,23
9653,10.29,2024-01-11,34,3
14141,7.83,2024-01-11,31,18
9644,0.2,2024-01-11,1,19
4545,12.35,2024-01-11,10,12
14350,4.31,2024-01-11,34,9
10618,0.08,2024-01-11,52,25
15860,12.93,2024-01-11,71,20
7970,10.91,2024-01-11,17,5
5949,1.33,2024-01-11,26,12
7697,1.15,2024-01-11,44,15
12513,5.98,2024-01-11,50,3
13389,14.81,2024-01-11,60,7
590,12.76,2024-01-11,74,24
2266,12.23,2024-01-11,48,18
15465,1.97,2024-01-11,16,12
9513,3.96,2024-01-11,22,17
15911,5.98,2024-01-11,21,19
6190,11.89,2024-01-11,75,2
13250,0.47,2024-01-11,45,8
9985,13.76,2024-01-11,75,11
10286,6.11,2024-01-11,10,29
6337,2.88,2024-01-11,57,15
691,6.81,2024-01-11,6,10
1942,11.49,2024-01-11,20,1
11428,1.75,2024-01-11,45,13
6749,5.92,2024-01-11,15,14
16827,1.37,2024-01-11,8,4
288,6.35,2024-01-11,30,30
10495,5.87,2024-01-11,66,22
16811,10.33,2024-01-11,10,12
8547,2.33,2024-01-11,6,19
11889,14.23,2024-01-11,12,15
12221,11.28,2024-01-11,27,23
12055,5.74,2024-01-11,11,8
8294,12.01,2024-01-11,42,24
2754,14.26,2024-01-11,24,9
394,0.01,2024-01-11,53,21
10497,5.98,2024-01-11,21,15
11152,12.4,2024-01-11,77,21
16819,11.92,2024-01-11,32,28
56,2.57,2024-01-11,73,27
14479,11.08,2024-01-12,73,8
4409,12.65,2024-01-12,49,30
16932,0.75,2024-01-12,32,17
15329,11.86,2024-01-12,4,7
5548,6.88,2024-01-12,15,29
15799,4.23,2024-01-12,71,16
9308,9.41,2024-01-12,64,19
8514,1.63,2024-01-12,15,12
19,0.1,2024-01-12,58,28
7078,3.49,2024-01-12,2,2
5505,14.03,2024-01-12,17,24
10498,13.69,2024-01-12,41,13
6774,8.78,2024-01-12,11,1
789,5.75,2024-01-12,24,4
2855,4.2,2024-01-12,64,11
6021,0.19,2024-01-12,35,30
12653,1.2,2024-01-12,1,23
15781,13.88,2024-01-12,65,29
16517,10.73,2024-01-12,11,27
212,6.83,2024-01-12,59,27
4514,9.61,2024-01-12,44,10
12910,2.92,2024-01-12,7,28
5139,10.13,2024-01-12,2,28
899,8.62,2024-01-12,69,5
2579,13.21,2024-01-12,48,18
6415,5.44,2024-01-12,62,17
1422,14.82,2024-01-12,53,14
10073,10.7,2024-01-13,76,10
7227,0.46,2024-01-13,28,24
15881,7.45,2024-01-13,26,14
4865,12.41,2024-01-13,35,18
3672,2.8,2024-01-13,11,2
6739,10.38,2024-01-13,59,25
2270,4.81,2024-01-13,26,5
3220,3.78,2024-01-13,2,23
1134,13.05,2024-01-13,37,6
12534,9.35,2024-01-13,17,6
7645,3.09,2024-01-13,56,4
15952,0.45,2024-01-13,18,25
16686,11.6,2024-01-13,19,9
4556,7.89,2024-01-13,38,12
1565,10.78,2024-01-13,13,22
2195,12.58,2024-01-13,18,26
10331,12.52,2024-01-13,24,28
11614,11.28,2024-01-13,18,12
5767,1.66,2024-01-13,25,9
8720,14.57,2024-01-13,55,27
800,4.24,2024-01-13,4,15
12116,14.69,2024-01-13,31,25
4338,9.54,2024-01-13,43,29
10179,9.15,2024-01-13,61,22
4779,3.61,2024-01-13,63,14
8009,4.15,2024-01-13,66,11
10622,8.18,2024-01-14,59,20
7698,1.58,2024-01-14,47,5
6596,5.35,2024-01-14,16,1
13179,12.77,2024-01-14,10,4
10071,13.73,2024-01-14,5,12
15754,8.9,2024-01-14,8,17
6030,2.83,2024-01-14,35,25
4344,8.1,2024-01-14,36,5
12024,12.28,2024-01-14,48,13
2924,0.01,2024-01-14,72,11
3165,4.67,2024-01-14,39,14
9996,9.95,2024-01-14,61,14
9407,5.58,2024-01-14,47,23
4115,5.22,2024-01-14,5,9
9927,6.56,2024-01-14,58,30
8050,12.23,2024-01-15,42,20
5420,2.7,2024-01-15,59,4
15134,5.37,2024-01-15,8,1
4487,10.99,2024-01-15,9,19
6963,7.82,2024-01-15,45,1
2184,5.84,2024-01-15,74,26
16170,0.38,2024-01-15,68,3
13235,6.33,2024-01-15,44,20
13895,0.13,2024-01-15,18,16
8213,10.44,2024-01-15,34,27
9510,4.83,2024-01-15,8,24
7505,13.82,2024-01-15,3,14
8263,4.11,2024-01-15,36,6
7597,11.68,2024-01-15,14,27
4153,12.48,2024-01-15,68,19
7482,11.93,2024-01-15,39,28
1501,14.29,2024-01-15,37,5
12633,0.24,2024-01-15,57,2
13747,0.8,2024-01-15,59,11
4050,5.55,2024-01-15,23,24
15386,14.53,2024-01-15,72,19
7329,11.64,2024-01-15,65,7
7660,7.89,2024-01-15,58,1
4067,10.46,2024-01-15,12,2
1040,11.13,2024-01-15,66,6
6354,0.3,2024-01-15,36,5
2631,8.53,2024-01-15,65,11
11200,2.39,2024-01-15,47,4
14330,6.65,2024-01-15,22,26
6978,0.72,2024-01-15,59,4
10726,13.44,2024-01-15,4,11
2199,5.95,2024-01-15,13,6
776,14.88,2024-01-15,77,22
10770,0.08,2024-01-15,31,29
8806,13.18,2024-01-15,70,30
8176,14.72,2024-01-15,11,12
5665,4.89,2024-01-15,51,17
8464,1.13,2024-01-15,65,9
414,2.99,2024-01-15,49,10
9618,3.96,2024-01-15,67,30
8551,10.17,2024-01-16,30,13
1258,4.82,2024-01-16,72,12
6399,14.05,2024-01-16,55,6
6094,0.21,2024-01-16,27,6
8057,14.79,2024-01-16,70,3
3940,3.17,2024-01-16,15,11
14736,0.35,2024-01-16,13,19
6639,10.97,2024-01-16,44,14
6631,6.81,2024-01-16,63,15
6392,5.62,2024-01-16,52,28
16164,4.25,2024-01-16,10,7
8612,1.45,2024-01-16,8,29
6926,0.87,2024-01-16,61,29
13926,9.23,2024-01-16,55,26
4875,4.37,2024-01-16,17,14
14369,9.68,2024-01-16,63,29
7610,14.7,2024-01-16,48,15
11571,10.67,2024-01-16,58,22
6008,2.75,2024-01-16,65,6
6080,2.77,2024-01-16,32,27
7455,14.04,2024-01-16,54,23
5573,3.31,2024-01-16,19,30
9430,4.8,2024-01-16,12,23
16876,11.9,2024-01-16,48,12
11185,14.94,2024-01-16,62,12
15690,11.9,2024-01-16,49,17
4624,10.34,2024-01-16,54,12
9023,6.46,2024-01-16,48,5
1286,13.6,2024-01-16,43,7
1955,5.22,2024-01-16,53,27
7187,8.78,2024-01-16,23,27
16204,4.5,2024-01-16,43,4
9827,9.26,2024-01-16,53,11
14286,5.16,2024-01-16,38,24
1976,11.49,2024-01-16,51,28
9267,14.66,2024-01-16,14,13
10849,8.87,2024-01-16,51,12
4583,9.13,2024-01-16,61,15
16040,13.68,2024-01-16,4,13
8564,12.96,2024-01-16,32,16
5410,1.47,2024-01-16,6,8
5831,6.18,2024-01-16,72,30
4709,6.75,2024-01-16,62,16
1858,12.84,2024-01-16,70,10
12783,8.81,2024-01-16,18,5
13651,2.64,2024-01-16,8,4
13213,2.82,2024-01-16,15,14
4568,2.5,2024-01-16,33,8
6220,7.14,2024-01-16,64,20
16947,10.5,2024-01-16,37,26
9060,12.86,2024-01-16,37,18
14858,1.38,2024-01-16,11,29
343,2.9,2024-01-16,21,9
17214,14.42,2024-01-16,62,9
4198,7.17,2024-01-16,2,30
8331,5.39,2024-01-16,32,13
8289,13.46,2024-01-17,13,18
1535,6.78,2024-01-17,64,28
7450,0.31,2024-01-17,11,27
1044,11.67,2024-01-17,26,29
4112,4.27,2024-01-17,18,4
8950,8.39,2024-01-17,77,24
9078,12.8,2024-01-17,26,21
3132,9.13,2024-01-17,65,9
2817,0.47,2024-01-17,25,8
12332,11.08,2024-01-17,1,16
15292,6.78,2024-01-17,60,20
4190,7.36,2024-01-17,33,25
17102,10.54,2024-01-17,41,5
7794,14.86,2024-01-17,31,3
12442,9.87,2024-01-17,24,13
16887,0.68,2024-01-17,66,20
10252,6.27,2024-01-17,5,1
4489,12.47,2024-01-17,39,4
7278,10.17,2024-01-17,70,5
15487,2.51,2024-01-17,38,27
3832,1.5,2024-01-17,60,3
5644,9.67,2024-01-17,76,14
7869,1.17,2024-01-17,30,1
8048,4.19,2024-01-17,32,13
7250,10.77,2024-01-17,72,9
12533,11.62,2024-01-17,59,7
4312,11.47,2024-01-17,44,5
12544,5.79,2024-01-17,64,13
1986,6.03,2024-01-18,11,7
2267,12.89,2024-01-18,70,14
14019,7.52,2024-01-18,50,3
5145,8.89,2024-01-18,57,20
7445,8.32,2024-01-18,77,7
10359,2.68,2024-01-18,30,20
10919,13.7,2024-01-18,47,14
1881,7.54,2024-01-18,14,16
6813,13.64,2024-01-18,40,21
16084,13.92,2024-01-18,31,22
10452,3.95,2024-01-18,22,3
4750,0.32,2024-01-18,33,16
12944,8.25,2024-01-18,6,29
1030,3.76,2024-01-18,33,9
1586,4.84,2024-01-18,71,16
688,3.47,2024-01-18,21,19
8443,10.47,2024-01-18,36,1
10961,2.48,2024-01-18,4,4
4923,10.68,2024-01-18,14,10
5044,5.03,2024-01-18,40,22
3980,9.89,2024-01-18,60,21
5910,8.08,2024-01-18,25,27
10897,1.36,2024-01-18,17,26
11970,3.78,2024-01-18,8,18
16221,5.13,2024-01-18,28,15
9350,2.29,2024-01-18,42,14
16206,12.45,2024-01-18,31,24
598,0.15,2024-01-18,59,11
10966,1.21,2024-01-18,48,12
1444,9.48,2024-01-18,7,17
15096,10.95,2024-01-18,10,2
11323,4.43,2024-01-18,53,22
14627,11.52,2024-01-18,56,3
6121,8.36,2024-01-18,44,13
1353,12.25,2024-01-18,38,6
10388,11.98,2024-01-18,27,30
11893,13.41,2024-01-18,57,24
2083,4.95,2024-01-18,53,11
6048,8.96,2024-01-18,32,13
16330,5.63,2024-01-18,57,24
6486,13.85,2024-01-18,4,3
5626,1.76,2024-01-18,33,2
3714,6.69,2024-01-18,42,10
13583,4.83,2024-01-18,39,9
8629,8.8,2024-01-18,58,6
7690,10.47,2024-01-18,53,14
13552,14.68,2024-01-18,33,19
7389,5.14,2024-01-19,20,1
13585,9.23,2024-01-19,66,17
7207,3.69,2024-01-19,25,26
9964,3.46,2024-01-19,8,30
4678,11.65,2024-01-19,24,30
14929,1.86,2024-01-19,21,15
9504,6.7,2024-01-19,76,24
2210,1.29,2024-01-19,3,4
2989,1.62,2024-01-19,33,30
1248,12.83,2024-01-19,50,23
9418,9.03,2024-01-19,32,10
2105,14.18,2024-01-19,62,25
6781,10.7,2024-01-19,24,27
2483,10.56,2024-01-19,49,10
9609,4.73,2024-01-19,42,14
14042,11.88,2024-01-19,14,28
17285,2.43,2024-01-19,13,29
7886,7.58,2024-01-19,40,25
14223,13.33,2024-01-19,51,20
8508,3.39,2024-01-19,53,13
14834,0.87,2024-01-19,71,24
2116,10.0,2024-01-19,53,7
3676,6.43,2024-01-19,18,7
1937,1.04,2024-01-19,48,24
7949,14.28,2024-01-19,48,15
1748,2.07,2024-01-19,45,11
10855,1.22,2024-01-19,73,30
2571,14.82,2024-01-19,13,16
15331,10.22,2024-01-19,12,5
8370,0.15,2024-01-19,42,10
2829,12.36,2024-01-19,8,13
9989,3.91,2024-01-19,32,13
10860,13.52,2024-01-19,56,9
7568,2.24,2024-01-19,58,30
7605,4.95,2024-01-19,77,29
14973,13.31,2024-01-19,10,2
14393,13.87,2024-01-19,48,2
12199,7.42,2024-01-19,13,19
2282,12.25,2024-01-19,3,5
5718,7.06,2024-01-19,22,8
98,14.57,2024-01-19,48,4
4147,10.15,2024-01-19,76,25
15403,14.34,2024-01-19,76,23
13525,13.89,2024-01-19,28,30
14950,6.31,2024-01-20,49,17
12858,14.59,2024-01-20,23,27
14945,12.11,2024-01-20,23,23
15670,2.61,2024-01-20,72,7
7549,10.25,2024-01-20,19,4
10845,1.74,2024-01-20,74,14
8973,9.58,2024-01-20,27,20
1221,11.4,2024-01-20,71,6
5029,5.12,2024-01-20,68,13
2355,10.45,2024-01-20,75,12
1658,14.18,2024-01-20,18,17
9529,3.13,2024-01-20,16,12
11828,4.19,2024-01-20,42,9
15980,11.33,2024-01-20,30,7
9769,7.68,2024-01-20,51,29
12250,2.66,2024-01-20,29,30
13363,0.17,2024-01-20,50,27
12694,0.2,2024-01-20,23,5
16307,8.07,2024-01-20,21,13
6586,0.8,2024-01-20,11,4
3344,4.36,2024-01-20,39,28
16436,0.72,2024-01-20,19,15
3404,14.0,2024-01-20,21,26
10649,6.53,2024-01-20,32,6
1090,13.84,2024-01-20,49,11
12359,12.57,2024-01-20,22,14
11826,8.19,2024-01-21,23,10
14559,2.7,2024-01-21,3,21
5978,1.79,2024-01-21,28,2
4065,5.08,2024-01-21,73,30
9853,13.4,2024-01-21,63,2
2046,7.19,2024-01-21,62,2
10893,10.49,2024-01-21,12,16
3757,0.81,2024-01-21,18,12
5845,14.56,2024-01-21,51,25
11305,2.19,2024-01-21,46,26
